"dataset","fit_model","metric","new_value","existing_value","diff","matches_existing"
"moreno_sheep","WST","K_hat",4,4,0,TRUE
"moreno_sheep","SST","K_hat",5,5,0,TRUE
"moreno_sheep","DCSBM","K_hat",5,5,0,TRUE
"strauss_2019b","WST","K_hat",14,14,0,TRUE
"strauss_2019b","SST","K_hat",7,7,0,TRUE
"strauss_2019b","DCSBM","K_hat",6,6,0,TRUE
"mountain_goats","WST","K_hat",4,4,0,TRUE
"mountain_goats","SST","K_hat",6,6,0,TRUE
"mountain_goats","DCSBM","K_hat",4,4,0,TRUE
"citations_data","WST","K_hat",13,13,0,TRUE
"citations_data","SST","K_hat",5,5,0,TRUE
"citations_data","DCSBM","K_hat",11,11,0,TRUE
"macaques_data","WST","K_hat",9,9,0,TRUE
"macaques_data","SST","K_hat",9,9,0,TRUE
"macaques_data","DCSBM","K_hat",11,11,0,TRUE
"high_school","WST","K_hat",9,9,0,TRUE
"high_school","SST","K_hat",11,11,0,TRUE
"high_school","DCSBM","K_hat",8,8,0,TRUE
"moreno_sheep","WST","violation_rate_zhat",0.0483460559796438,0.0483460559796438,0,TRUE
"moreno_sheep","SST","violation_rate_zhat",0.0225,0.0225,0,TRUE
"moreno_sheep","DCSBM","violation_rate_zhat",0.0751072961373391,0.0751072961373391,0,TRUE
"strauss_2019b","WST","violation_rate_zhat",0.113916617733412,0.113916617733412,0,TRUE
"strauss_2019b","SST","violation_rate_zhat",0.113620807665982,0.113620807665982,0,TRUE
"strauss_2019b","DCSBM","violation_rate_zhat",0.103926096997691,0.103926096997691,0,TRUE
"mountain_goats","WST","violation_rate_zhat",0.0036563071297989,0.0036563071297989,0,TRUE
"mountain_goats","SST","violation_rate_zhat",0.0033500837520938,0.0033500837520938,0,TRUE
"mountain_goats","DCSBM","violation_rate_zhat",0,0,0,TRUE
"citations_data","WST","violation_rate_zhat",0.296028880866426,0.296028880866426,0,TRUE
"citations_data","SST","violation_rate_zhat",0.341970069242796,0.341970069242796,0,TRUE
"citations_data","DCSBM","violation_rate_zhat",0.315238402061856,0.315238402061856,0,TRUE
"macaques_data","WST","violation_rate_zhat",0.00880829015544041,0.00880829015544041,0,TRUE
"macaques_data","SST","violation_rate_zhat",0.00566426364572606,0.00566426364572606,0,TRUE
"macaques_data","DCSBM","violation_rate_zhat",0.0202369200394867,0.0202369200394867,0,TRUE
"high_school","WST","violation_rate_zhat",0.294117647058824,0.294117647058824,0,TRUE
"high_school","SST","violation_rate_zhat",0.188311688311688,0.188311688311688,0,TRUE
"high_school","DCSBM","violation_rate_zhat",0.4609375,0.4609375,0,TRUE
"moreno_sheep","WST","violation_count_zhat",19,19,0,TRUE
"moreno_sheep","SST","violation_count_zhat",9,9,0,TRUE
"moreno_sheep","DCSBM","violation_count_zhat",35,35,0,TRUE
"strauss_2019b","WST","violation_count_zhat",194,194,0,TRUE
"strauss_2019b","SST","violation_count_zhat",166,166,0,TRUE
"strauss_2019b","DCSBM","violation_count_zhat",135,135,0,TRUE
"mountain_goats","WST","violation_count_zhat",2,2,0,TRUE
"mountain_goats","SST","violation_count_zhat",2,2,0,TRUE
"mountain_goats","DCSBM","violation_count_zhat",0,0,0,TRUE
"citations_data","WST","violation_count_zhat",3608,3608,0,TRUE
"citations_data","SST","violation_count_zhat",3062,3062,0,TRUE
"citations_data","DCSBM","violation_count_zhat",3914,3914,0,TRUE
"macaques_data","WST","violation_count_zhat",17,17,0,TRUE
"macaques_data","SST","violation_count_zhat",11,11,0,TRUE
"macaques_data","DCSBM","violation_count_zhat",41,41,0,TRUE
"high_school","WST","violation_count_zhat",40,40,0,TRUE
"high_school","SST","violation_count_zhat",29,29,0,TRUE
"high_school","DCSBM","violation_count_zhat",59,59,0,TRUE
"moreno_sheep","WST","cross_count_zhat",393,393,0,TRUE
"moreno_sheep","SST","cross_count_zhat",400,400,0,TRUE
"moreno_sheep","DCSBM","cross_count_zhat",466,466,0,TRUE
"strauss_2019b","WST","cross_count_zhat",1703,1703,0,TRUE
"strauss_2019b","SST","cross_count_zhat",1461,1461,0,TRUE
"strauss_2019b","DCSBM","cross_count_zhat",1299,1299,0,TRUE
"mountain_goats","WST","cross_count_zhat",547,547,0,TRUE
"mountain_goats","SST","cross_count_zhat",597,597,0,TRUE
"mountain_goats","DCSBM","cross_count_zhat",535,535,0,TRUE
"citations_data","WST","cross_count_zhat",12188,12188,0,TRUE
"citations_data","SST","cross_count_zhat",8954,8954,0,TRUE
"citations_data","DCSBM","cross_count_zhat",12416,12416,0,TRUE
"macaques_data","WST","cross_count_zhat",1930,1930,0,TRUE
"macaques_data","SST","cross_count_zhat",1942,1942,0,TRUE
"macaques_data","DCSBM","cross_count_zhat",2026,2026,0,TRUE
"high_school","WST","cross_count_zhat",136,136,0,TRUE
"high_school","SST","cross_count_zhat",154,154,0,TRUE
"high_school","DCSBM","cross_count_zhat",128,128,0,TRUE
"moreno_sheep","WST","thetaW_block_emp_mean",0.953687315634218,0.953687315634218,-1.11022302462516e-16,TRUE
"moreno_sheep","SST","thetaW_block_emp_mean",0.999830776173285,0.999830776173285,0,TRUE
"moreno_sheep","DCSBM","thetaW_block_emp_mean",0.916377983063895,0.916377983063895,1.11022302462516e-16,TRUE
"strauss_2019b","WST","thetaW_block_emp_mean",0.977110134995134,0.977110134995134,0,TRUE
"strauss_2019b","SST","thetaW_block_emp_mean",0.998810992260452,0.998810992260452,0,TRUE
"strauss_2019b","DCSBM","thetaW_block_emp_mean",0.903563339044599,0.903563339044599,0,TRUE
"mountain_goats","WST","thetaW_block_emp_mean",1,1,0,TRUE
"mountain_goats","SST","thetaW_block_emp_mean",1,1,0,TRUE
"mountain_goats","DCSBM","thetaW_block_emp_mean",1,1,0,TRUE
"citations_data","WST","thetaW_block_emp_mean",0.900275022350363,0.900275022350363,0,TRUE
"citations_data","SST","thetaW_block_emp_mean",1,1,0,TRUE
"citations_data","DCSBM","thetaW_block_emp_mean",0.968253968253968,0.968253968253968,-1.11022302462516e-16,TRUE
"macaques_data","WST","thetaW_block_emp_mean",0.999963053277174,0.999963053277174,-1.11022302462516e-16,TRUE
"macaques_data","SST","thetaW_block_emp_mean",1,1,0,TRUE
"macaques_data","DCSBM","thetaW_block_emp_mean",1,1,0,TRUE
"high_school","WST","thetaW_block_emp_mean",0.884021748452526,0.884021748452526,0,TRUE
"high_school","SST","thetaW_block_emp_mean",0.965611039920849,0.965611039920849,-1.11022302462516e-16,TRUE
"high_school","DCSBM","thetaW_block_emp_mean",0.839492234852575,0.839492234852575,0,TRUE
"moreno_sheep","WST","thetaS_block_emp_mean",0.371976401179941,0.371976401179941,0,TRUE
"moreno_sheep","SST","thetaS_block_emp_mean",0.430901882413615,0.430901882413615,0,TRUE
"moreno_sheep","DCSBM","thetaS_block_emp_mean",0.438404694697997,0.438404694697997,0,TRUE
"strauss_2019b","WST","thetaS_block_emp_mean",0.384387444889453,0.384387444889453,0,TRUE
"strauss_2019b","SST","thetaS_block_emp_mean",0.461831106314114,0.461831106314114,0,TRUE
"strauss_2019b","DCSBM","thetaS_block_emp_mean",0.559724670788986,0.559724670788986,0,TRUE
"mountain_goats","WST","thetaS_block_emp_mean",0.535448751991503,0.535448751991503,0,TRUE
"mountain_goats","SST","thetaS_block_emp_mean",0.450260869565217,0.450260869565217,0,TRUE
"mountain_goats","DCSBM","thetaS_block_emp_mean",0.314577039274924,0.314577039274924,0,TRUE
"citations_data","WST","thetaS_block_emp_mean",0.419258888175466,0.419258888175466,0,TRUE
"citations_data","SST","thetaS_block_emp_mean",0.531572005605473,0.531572005605473,0,TRUE
"citations_data","DCSBM","thetaS_block_emp_mean",0.595238095238095,0.595238095238095,0,TRUE
"macaques_data","WST","thetaS_block_emp_mean",0.353031934444038,0.353031934444038,0,TRUE
"macaques_data","SST","thetaS_block_emp_mean",0.356150131833921,0.356150131833921,0,TRUE
"macaques_data","DCSBM","thetaS_block_emp_mean",0.327035734959232,0.327035734959232,0,TRUE
"high_school","WST","thetaS_block_emp_mean",0.306004065244198,0.306004065244198,0,TRUE
"high_school","SST","thetaS_block_emp_mean",0.405012094560435,0.405012094560435,0,TRUE
"high_school","DCSBM","thetaS_block_emp_mean",0.35650796587284,0.35650796587284,0,TRUE
"moreno_sheep","DCSBM","thetaW_block_model_mean",0.924560712147317,0.924560712147317,1.11022302462516e-16,TRUE
"strauss_2019b","DCSBM","thetaW_block_model_mean",0.915933460842958,0.915933460842958,-1.11022302462516e-16,TRUE
"mountain_goats","DCSBM","thetaW_block_model_mean",1,1,0,TRUE
"citations_data","DCSBM","thetaW_block_model_mean",0.954810442447286,0.954810442447286,1.11022302462516e-16,TRUE
"macaques_data","DCSBM","thetaW_block_model_mean",0.996406035457843,0.996406035457843,0,TRUE
"high_school","DCSBM","thetaW_block_model_mean",0.699758093002783,0.699758093002783,0,TRUE
"moreno_sheep","DCSBM","thetaS_block_model_mean",0.501754402043086,0.501754402043086,0,TRUE
"strauss_2019b","DCSBM","thetaS_block_model_mean",0.509791150295104,0.509791150295104,0,TRUE
"mountain_goats","DCSBM","thetaS_block_model_mean",0.359705438066465,0.359705438066465,0,TRUE
"citations_data","DCSBM","thetaS_block_model_mean",0.569053211869608,0.569053211869608,0,TRUE
"macaques_data","DCSBM","thetaS_block_model_mean",0.342722647219102,0.342722647219102,0,TRUE
"high_school","DCSBM","thetaS_block_model_mean",0.268580103223172,0.268580103223172,0,TRUE
"moreno_sheep","DCSBM","bar_rho_model_mean",0.825433846396817,0.825433846396817,0,TRUE
"strauss_2019b","DCSBM","bar_rho_model_mean",0.766462787592145,0.766462787592145,0,TRUE
"mountain_goats","DCSBM","bar_rho_model_mean",0.987252730810304,0.987252730810304,-1.11022302462516e-16,TRUE
"citations_data","DCSBM","bar_rho_model_mean",0.657417107030397,0.657417107030397,0,TRUE
"macaques_data","DCSBM","bar_rho_model_mean",0.936452434099604,0.936452434099604,0,TRUE
"high_school","DCSBM","bar_rho_model_mean",0.622717058916383,0.622717058916383,0,TRUE
"moreno_sheep","DCSBM","p_post_wst",0.276366435719784,0.502694380292533,-0.226327944572749,FALSE
"strauss_2019b","DCSBM","p_post_wst",0.0824143934997097,0.268136970400464,-0.185722576900754,FALSE
"mountain_goats","DCSBM","p_post_wst",1,1,0,TRUE
"citations_data","DCSBM","p_post_wst",0,0.000285714285714274,-0.000285714285714274,FALSE
"macaques_data","DCSBM","p_post_wst",0.561020036429872,0.77959927140255,-0.218579234972678,FALSE
"high_school","DCSBM","p_post_wst",0,0,0,TRUE
"moreno_sheep","DCSBM","p_prior_wst",0.05885,0.2235,-0.16465,FALSE
"strauss_2019b","DCSBM","p_prior_wst",0.009,0.0475,-0.0385,FALSE
"mountain_goats","DCSBM","p_prior_wst",0.2487,0.541,-0.2923,FALSE
"citations_data","DCSBM","p_prior_wst",0,0,0,TRUE
"macaques_data","DCSBM","p_prior_wst",0,0,0,TRUE
"high_school","DCSBM","p_prior_wst",0,0,0,TRUE
"moreno_sheep","DCSBM","bf_wst_0",4.6961161549666,2.24919185813214,2.44692429683446,FALSE
"strauss_2019b","DCSBM","bf_wst_0",9.15715483330108,5.64498885053608,3.512165982765,FALSE
"mountain_goats","DCSBM","bf_wst_0",4.02090872537193,1.84842883548983,2.1724798898821,FALSE
"citations_data","DCSBM","bf_wst_0",,Inf,,FALSE
"macaques_data","DCSBM","bf_wst_0",Inf,Inf,,TRUE
"high_school","DCSBM","bf_wst_0",,,,TRUE
"moreno_sheep","DCSBM","p_post_sst",0,0,0,TRUE
"strauss_2019b","DCSBM","p_post_sst",0,0,0,TRUE
"mountain_goats","DCSBM","p_post_sst",0.0324773413897281,0.0324773413897281,0,TRUE
"citations_data","DCSBM","p_post_sst",0,0,0,TRUE
"macaques_data","DCSBM","p_post_sst",0,0,0,TRUE
"high_school","DCSBM","p_post_sst",0,0,0,TRUE
"moreno_sheep","DCSBM","p_prior_sst",0,0.0025,-0.0025,FALSE
"strauss_2019b","DCSBM","p_prior_sst",0,0,0,TRUE
"mountain_goats","DCSBM","p_prior_sst",0.009,0.089,-0.08,FALSE
"citations_data","DCSBM","p_prior_sst",0,0,0,TRUE
"macaques_data","DCSBM","p_prior_sst",0,0,0,TRUE
"high_school","DCSBM","p_prior_sst",0,0,0,TRUE
"moreno_sheep","DCSBM","bf_sst_0",,0,,FALSE
"strauss_2019b","DCSBM","bf_sst_0",,,,TRUE
"mountain_goats","DCSBM","bf_sst_0",3.60859348774756,0.364913948199192,3.24367953954837,FALSE
"citations_data","DCSBM","bf_sst_0",,,,TRUE
"macaques_data","DCSBM","bf_sst_0",,,,TRUE
"high_school","DCSBM","bf_sst_0",,,,TRUE
