"gen_model","fit_model","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","theta_ocrp","ocrp_attempts","block_sizes_true","rate_kap","ari","vi","elpd","elpd_se","p_loo","p_loo_se","looic","looic_se","pk_bad","pk_bad_count","pareto_k_max","pareto_k_mean","n_loo_obs","time","seed","sigma0","tau0","dominance_target","N0_psi","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","elpd_rank","elpd_best_model","delta_elpd_best","delta_elpd_best_se","delta_elpd_best_z","elpd_wst_minus_sst","elpd_wst_minus_sst_se","elpd_wst_minus_sst_z","elpd_wst_minus_dc","elpd_wst_minus_dc_se","elpd_wst_minus_dc_z","elpd_sst_minus_dc","elpd_sst_minus_dc_se","elpd_sst_minus_dc_z","loo_pointwise_file","rep_id","density"
"WST","WST",10,6,7.25333333333333,"app_sparse_hetero",0.3,0.0324,3.5,4,2.96291897812002,NA,"7;7;7;7;7;7;7;7;7;7",0.3,0.486041842088218,1.66660560815515,-1890.7846190755,51.0906364322964,204.324268924315,9.77051265091002,3781.569238151,102.181272864593,0.0132505175983437,32,1.39999158473168,0.216013878677042,2415,68.656,1002,2,0.5,0.75,13,1,1,1,0,NA,0.43094262295082,0.2,0.6,82.3237616961745,0.0130339934588399,0.999517839922854,1,1,122,0.000482160077145614,0.443774108003857,0.25,0.649375,55.8779545680278,0.012027023170026,0.990063977848833,0.941176470588235,1,83.2176536406467,0.00248318813900083,0.63971472900348,0.444583333333333,0.8,81.9438567435642,0.011730091924838,0.903302747236103,0.836736757148583,0.942285799655786,40.6440186308854,0.00417085214401463,0.983606557377049,0.8,1,122,0.00498754114178286,0.424590163934426,0.2,0.6,67.9435357575744,0.0146158432923585,0.977049180327869,0.8,1,59.3496745737834,0.00955571573956284,0.434426229508197,0.20125,0.64875,63.4662070712154,0.0119705271090324,0.952049180327869,0.8,1,122,0.00484824371005411,0.61516393442623,0.40125,0.8,122,0.00970171133908279,19.672131147541,19.5491803278689,19.2295081967213,0.983606557377049,0.977459016393443,0.961475409836066,1,1,1,0,0,0,0.83667792705969,0.684720883730516,0.927465737044527,9.01809309032006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0542479798636799,0.0388513513513514,0.074381502580973,32.6133333333333,599.48,122,0.61790017211704,359,2,"SST",-19.4219058982274,6.06856308766667,3.20041262118525,-19.4219058982274,6.06856308766667,3.20041262118525,5.8802052972585,7.07742966181232,0.83083910095021,25.3021111954858,10.092766591023,2.50695495306419,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_172715/loo_pointwise/loo_pointwise_rep001_WST_heteroSparse_WST_K10_kappa_0.3_app_sparse_hetero_seed1001.csv",1,"kappa_0.3"
"WST","SST",10,7,8.17833333333333,"app_sparse_hetero",0.3,0.0324,3.5,4,2.96291897812002,NA,"7;7;7;7;7;7;7;7;7;7",0.3,0.450720242608036,1.60270341737991,-1871.36271317727,50.9896145349503,198.320637182629,9.20618879953736,3742.72542635454,101.979229069901,0.0178053830227743,43,1.97204726432025,0.215575092487057,2415,109.533,1003,2,0.5,0.75,13,1,1,1,0,NA,1,1,1,0,NA,0.999640417116145,1,1,103,0.000359582883854729,0.415590486464273,0.244285714285714,0.584285714285714,46.5966220943635,0.0132850864084087,0.992617042055231,0.954563894523327,1,54.0972476930662,0.00204598752170243,0.653596776184592,0.507857142857143,0.796764705882353,103,0.00722535111398439,0.959296996550444,0.940773066620434,0.974833964282665,84.4572526914062,0.00103349197633006,1,1,1,0,NA,1,1,1,0,NA,0.979472954230236,0.857142857142857,1,103,0.00523599299778565,0.40748959778086,0.228571428571429,0.571428571428571,51.1799833461074,0.0129105451210897,0.959223300970874,0.844285714285714,1,54.1359665389306,0.00619027117268475,0.631900138696255,0.485714285714286,0.771428571428571,103,0.00773799254401657,35,34.2912621359223,33.8155339805825,1,0.979750346740638,0.966158113730929,1,1,1,0,0,0,0.900261507099895,0.82600557744242,0.958057238969885,5.5095134110224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0447667942124292,0.0377937899272025,0.0538544891640867,27.3966666666667,611.663333333333,103,0.476666666666667,286,1,"SST",0,0,NA,-19.4219058982274,6.06856308766667,3.20041262118525,5.8802052972585,7.07742966181232,0.83083910095021,25.3021111954858,10.092766591023,2.50695495306419,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_172715/loo_pointwise/loo_pointwise_rep001_WST_heteroSparse_WST_K10_kappa_0.3_app_sparse_hetero_seed1001.csv",1,"kappa_0.3"
"WST","DC-SBM",10,5,4.225,"app_sparse_hetero",0.3,0.0324,3.5,4,2.96291897812002,NA,"7;7;7;7;7;7;7;7;7;7",0.3,0.401760704281713,2.23253153824924,-1896.66482437276,51.4984703340249,139.97250755047,7.35147430919144,3793.32964874551,102.99694066805,0.0737060041407867,178,1.77523467080772,0.244533060830426,2415,25.421,1004,2,0.5,0.75,13,0.937176870748299,0.7,1,105,0.0106269812099128,0.444837490551776,0.142857142857143,0.728571428571428,105,0.0175608559915808,0.998809523809524,1,1,105,0.00119047619047619,0.415850340136054,0.2,0.7,105,0.0141066687294491,0.975744520030234,0.875,1,105,0.00465128920108521,0.635404383975813,0.4,1,105,0.0145218627384991,0.837049274197247,0.71520034354995,0.919903953962398,105,0.00578027009509558,0.806666666666667,0.4,1,105,0.0217489280888938,0.384761904761905,0.1,0.7,55.8619997951563,0.0248777974245709,0.951428571428571,0.7,1,105,0.0108363015697768,0.393333333333333,0.2,0.639999999999999,105,0.0137525666380167,0.878095238095238,0.7,1,105,0.00994314905610528,0.56952380952381,0.4,0.8,105,0.0132684186395286,8.53333333333333,9.52380952380952,8.99047619047619,0.853333333333333,0.952380952380952,0.899047619047619,0.923809523809524,0.66,1,0.436560574721772,0.538558132425547,0.0222329683157975,0.846146518536382,0.473603116667695,0.954596639772716,10.6794347731292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0471200901151852,0.0347985347985348,0.0620567375886525,26.12,553.793333333333,105,0.660107334525939,369,3,"SST",-25.3021111954858,10.092766591023,2.50695495306419,-19.4219058982274,6.06856308766667,3.20041262118525,5.8802052972585,7.07742966181232,0.83083910095021,25.3021111954858,10.092766591023,2.50695495306419,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_172715/loo_pointwise/loo_pointwise_rep001_WST_heteroSparse_WST_K10_kappa_0.3_app_sparse_hetero_seed1001.csv",1,"kappa_0.3"
"WST","WST",10,7,8.505,"app_sparse_hetero",0.3,0.0324,3.5,4,2.96291897812002,NA,"7;7;7;7;7;7;7;7;7;7",0.3,0.70860539908391,1.06121340818907,-1919.99151491486,50.8599317162078,198.229294574734,9.72950222079649,3839.98302982972,101.719863432416,0.010351966873706,25,1.19179747017154,0.217807028735788,2415,265.405,1003,2,0.5,0.75,13,1,1,1,0,NA,0.320961281708945,0.169761904761905,0.514285714285714,28.7735884782342,0.0163907608062876,0.902962899043542,0.757575757575758,1,98.0777418113805,0.00814316405666847,0.318106453901984,0.210292580982236,0.438571428571428,60.3498799996597,0.00779004547811584,0.981175251090926,0.929375,1,107,0.00221987492628087,0.644751536155888,0.514848484848485,0.783570075757576,107,0.00704907228121533,0.893558823147222,0.862926315655108,0.91734233249788,55.6321839122943,0.00213637156269204,0.990654205607477,0.857142857142857,1,107,0.00343094905707642,0.318558077436582,0.161428571428571,0.514285714285714,36.3228220327784,0.0148892756971441,0.872096128170895,0.714285714285714,1,41.6467719455284,0.0166916985399021,0.307610146862483,0.2,0.438571428571428,58.6922339698022,0.00858087592308691,0.949532710280374,0.875714285714286,1,78.5711846708605,0.0042830445272319,0.624032042723631,0.485714285714286,0.742857142857143,107,0.00708937361486539,34.6728971962617,33.7196261682243,33.8691588785047,0.990654205607477,0.963417890520694,0.967690253671562,1,1,1,0,0,0,0.76850679751014,0.664979589706151,0.861089303420223,15.2762499607389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0604512385015343,0.051514324209332,0.0728979722770203,40.4716666666667,669.018333333333,107,0.326219512195122,214,1,"WST",0,0,NA,14.1600488130198,9.0914669948656,1.55750978593627,42.7377924841312,9.62055293603861,4.44234263542539,28.5777436711114,12.2073004577871,2.34103713347054,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_172715/loo_pointwise/loo_pointwise_rep002_WST_heteroSparse_WST_K10_kappa_0.3_app_sparse_hetero_seed1002.csv",2,"kappa_0.3"
"WST","SST",10,8,8.43,"app_sparse_hetero",0.3,0.0324,3.5,4,2.96291897812002,NA,"7;7;7;7;7;7;7;7;7;7",0.3,0.608987751423539,1.11881930144425,-1934.15156372788,52.4815727386702,188.449299909554,9.390889118721,3868.30312745576,104.96314547734,0.0136645962732919,33,1.35658835127289,0.216007232580146,2415,364.321,1004,2,0.5,0.75,13,1,1,1,0,NA,1,1,1,0,NA,0.95773525807972,0.909090909090909,1,155.86154173365,0.0034600612578063,0.275148982247951,0.129533492822967,0.414261363636364,72.065779782607,0.00860716881147953,0.979925153446205,0.931304176516943,1,145.358122014781,0.00164092657605601,0.632926904615712,0.504952830188679,0.747613636363636,222,0.00418523328753462,0.944408428477275,0.922432551992982,0.961838925810927,97.2285817848958,0.00100186950283059,1,1,1,0,NA,1,1,1,0,NA,0.911679536679537,0.760267857142857,1,149.524566868799,0.00698726122175652,0.262065637065637,0.125,0.401339285714286,78.1621869800513,0.00823393010806275,0.93548906048906,0.839285714285714,1,90.5990039724402,0.00480994160118744,0.603603603603604,0.473660714285714,0.704910714285714,222,0.00398008179221373,56,53.2432432432432,53.4504504504505,1,0.950772200772201,0.95447232947233,1,1,1,0,0,0,0.84047842146648,0.794104404080255,0.893865502909518,5.80165151567963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0579637950244557,0.0501481762917933,0.0659698234583149,38.905,670.706666666667,222,0.404870624048706,266,2,"WST",-14.1600488130198,9.0914669948656,1.55750978593627,14.1600488130198,9.0914669948656,1.55750978593627,42.7377924841312,9.62055293603861,4.44234263542539,28.5777436711114,12.2073004577871,2.34103713347054,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_172715/loo_pointwise/loo_pointwise_rep002_WST_heteroSparse_WST_K10_kappa_0.3_app_sparse_hetero_seed1002.csv",2,"kappa_0.3"
"WST","DC-SBM",10,6,5.22666666666667,"app_sparse_hetero",0.3,0.0324,3.5,4,2.96291897812002,NA,"7;7;7;7;7;7;7;7;7;7",0.3,0.626414248907808,1.60409596924887,-1962.72930739899,52.0477273100204,151.841026433645,7.433047234066,3925.45861479798,104.095454620041,0.0737060041407867,178,1.90399439877637,0.254885064360581,2415,71.942,1005,2,0.5,0.75,13,0.932701834858675,0.790909090909091,1,116,0.00711418150112197,0.232036013092515,0,0.4046875,83.5852800594134,0.011421514268339,0.981532685669549,0.866666666666667,1,61.4209489872858,0.00584336153406787,0.231701607594036,0.0523026315789474,0.378125,80.8143098286666,0.0100802914799622,0.981699145175312,0.894736842105263,1,116,0.0028829273156243,0.678413383653522,0.473684210526316,0.889619883040936,76.9166569024044,0.0122909543407516,0.822395684734897,0.715016771495105,0.902447771445852,116,0.00488771497815234,0.766379310344828,0.39375,1,116,0.0176567286959318,0.194396551724138,0,0.4,83.7326106168983,0.0108990783609458,0.892241379310345,0.65,1,72.3221149674429,0.0150667124151683,0.213793103448276,0.05,0.35625,70.9905672452314,0.0114372696503956,0.906465517241379,0.75,1,233.213683285619,0.00447738292836849,0.625431034482759,0.45,0.85,116,0.00963143298632164,16.3275862068966,18.1293103448276,18.4655172413793,0.816379310344828,0.906465517241379,0.923275862068966,0.917672413793103,0.7,1,0.447045173334905,0.863621230032783,0.0245355399913893,0.689002500222735,0.565720238807999,0.805830101389656,14.8376760218215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148566295512056,0.120879063573056,0.175642400134075,93.7433333333333,630.583333333333,116,0.481658692185008,302,3,"WST",-42.7377924841312,9.62055293603861,4.44234263542539,14.1600488130198,9.0914669948656,1.55750978593627,42.7377924841312,9.62055293603861,4.44234263542539,28.5777436711114,12.2073004577871,2.34103713347054,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_172715/loo_pointwise/loo_pointwise_rep002_WST_heteroSparse_WST_K10_kappa_0.3_app_sparse_hetero_seed1002.csv",2,"kappa_0.3"
"WST","WST",10,10,10.1466666666667,"app_sparse_hetero",0.3,0.0324,3.5,4,2.96291897812002,NA,"7;7;7;7;7;7;7;7;7;7",0.3,0.88953423433486,0.337878349348618,-1632.92222134698,47.6714641523401,180.101925848998,9.06899259762902,3265.84444269397,95.3429283046802,0.0115942028985507,28,1.2016203167571,0.228044327971669,2415,321.239,1004,2,0.5,0.75,13,1,1,1,0,NA,0.325096006122463,0.214285714285714,0.428571428571429,227.936546761156,0.00367901013213528,0.992008048447422,0.97,1,101.679459703476,0.000908476925356484,0.29873144618374,0.228571428571429,0.361646825396825,142.833783484776,0.00292125591565581,0.985722630935571,0.959926943750473,1,244.680693862831,0.000756272665071059,0.713276497486422,0.638975319857673,0.780701754385965,217.013519414703,0.00256437980935546,0.865956193428144,0.829528361232613,0.901749909729262,294,0.00117604400289179,0.95249433106576,0.866666666666667,1,221.672199841053,0.00339777134588945,0.309637188208617,0.194375,0.408333333333333,219.349842031986,0.00370976578863461,0.90328798185941,0.8,1,168.857407662101,0.00419644494483789,0.272590702947846,0.191666666666667,0.341666666666667,155.582701694034,0.00315071409384364,0.948809523809524,0.891666666666667,0.983333333333333,217.674909847396,0.00161586601347638,0.686592970521542,0.608333333333333,0.755625,231.262694621329,0.00261650119264446,114.299319727891,109.251700680272,115.503401360544,0.95249433106576,0.910430839002268,0.962528344671202,1,1,1,0,0,0,0.685058239308552,0.589385745196106,0.776668523364285,11.9880823607649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0529211235584132,0.045947669704764,0.0676769069363928,28.3266666666667,534.948333333333,294,0.465420560747664,249,1,"WST",0,0,NA,10.5786910120323,9.45686818965318,1.11862519386773,93.9999509265299,12.4278495597885,7.56365374993559,83.4212599144976,13.5797482807428,6.1430637880671,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_172715/loo_pointwise/loo_pointwise_rep003_WST_heteroSparse_WST_K10_kappa_0.3_app_sparse_hetero_seed1003.csv",3,"kappa_0.3"
"WST","SST",10,10,9.83166666666667,"app_sparse_hetero",0.3,0.0324,3.5,4,2.96291897812002,NA,"7;7;7;7;7;7;7;7;7;7",0.3,0.76205150781422,0.78161254918605,-1643.50091235902,50.6978732182636,169.07896152229,8.95667991164659,3287.00182471803,101.395746436527,0.0140786749482402,34,2.18998637255477,0.225640777873448,2415,361.967,1005,2,0.5,0.75,13,1,1,1,0,NA,1,1,1,0,NA,0.993980690002728,0.963729246487867,1,132.164792189205,0.000840840855945214,0.314252664910783,0.22665220293725,0.396618204804045,57.6823483307244,0.00574232643601098,0.987209862669079,0.965307346326837,1,291.509248680605,0.000586188517636659,0.722300041812676,0.635824345146379,0.786324786324786,253,0.00248430885052381,0.952720453356107,0.933918148639811,0.968941536385397,126.494240711786,0.000798801066056243,1,1,1,0,NA,1,1,1,0,NA,0.912779973649539,0.8,1,154.016991824382,0.00413517744108515,0.289064558629776,0.2,0.366666666666667,192.248838638667,0.00329763469639127,0.951251646903821,0.891666666666667,0.983333333333333,253,0.0015016685191453,0.696014492753623,0.608333333333333,0.766666666666667,253,0.00262478034860915,120,110.177865612648,115.624505928854,1,0.918148880105402,0.963537549407115,1,1,1,0,0,0,0.85596727627195,0.795322633664668,0.930751008014894,5.93495331581965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0501966530583753,0.0450281425891182,0.0563776953596688,26.7533333333333,532.938333333333,253,0.483333333333333,261,2,"WST",-10.5786910120323,9.45686818965318,1.11862519386773,10.5786910120323,9.45686818965318,1.11862519386773,93.9999509265299,12.4278495597885,7.56365374993559,83.4212599144976,13.5797482807428,6.1430637880671,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_172715/loo_pointwise/loo_pointwise_rep003_WST_heteroSparse_WST_K10_kappa_0.3_app_sparse_hetero_seed1003.csv",3,"kappa_0.3"
