gen_model,K_true,hierch,kappa_mean,psi_mean,rep_id,d_vi_WST_minus_SST,d_ari_WST_minus_SST,d_looic_WST_minus_SST,WST_better_vi,SST_better_vi,WST_better_ari,SST_better_ari,WST_better_looic,SST_better_looic
WST,3,medium,1.5,0.7,2,0.22528730934671198,-0.09258831889390695,-9.587278078380223,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
SST,8,strong,3,1.3,2,-0.141503749927884,0.03720976865582304,14.683346785399408,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
SST,8,weak,6,0.2,2,0,0,13.249414250500195,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,8,medium,6,0.7,2,0,0,18.555957315100386,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,3,weak,3,0.2,2,0,0,-21.42945696075003,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,8,strong,6,1.3,2,0,0,21.968953108798814,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,5,strong,0.75,1.3,2,0.23608259976862,0,1.6278966784702789,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
WST,3,strong,3,1.3,2,0,0,-23.092530806560717,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,medium,3,0.7,2,-0.40632594112835696,0.11716526464311794,-10.435024708800483,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,5,medium,0.75,0.7,2,-0.0827633700607269,0.020752725993668952,-28.81614403262938,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,5,weak,0.75,0.2,2,0.11609670339406,-0.02372637445318493,-33.286614253070184,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
WST,3,strong,6,1.3,2,0,0,-13.142543646699778,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,weak,6,0.2,2,0,0,2.762109115599742,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,3,medium,6,0.7,2,0,0,-74.97866263459946,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,weak,1.5,0.2,2,0,0,-60.92302238455068,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,medium,1.5,0.7,2,-0.10052865715181697,0.03877877675172592,-23.764836897500572,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,5,strong,1.5,1.3,2,0,0,-8.900748544950147,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,weak,3,0.2,2,0,0,-16.054180833600185,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,medium,3,0.7,2,0,0,-234.46814427840036,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,weak,0.75,0.2,2,0,0,2.3259647591294197,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,5,strong,3,1.3,2,0,0,-24.051820049198795,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,strong,0.75,1.3,2,0.11983468431450306,-0.09735918306300195,83.70308385648968,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
WST,8,medium,0.75,0.7,2,-0.16691079646170703,0.04344994870456598,-18.40317383663023,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,5,weak,6,0.2,2,0,0,-142.2105948244007,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,medium,6,0.7,2,0,0,-61.777988781899694,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,strong,6,1.3,2,0,0,-15.998491568800091,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,weak,1.5,0.2,2,-0.06500224216483508,-0.0027865582497199615,-12.482731844029331,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
WST,8,strong,1.5,1.3,2,-0.10519990686290301,-0.05214396250153397,16.037656438479644,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
WST,8,medium,1.5,0.7,2,0,0,-15.457018789819813,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,medium,0.75,0.7,3,0.276704445100892,-0.06585893316492497,-13.336632289250701,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
SST,3,weak,0.75,0.2,3,0,0,5.739561860390495,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,strong,0.75,1.3,3,0,0,0.9080499046995101,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,weak,1.5,0.2,3,0,0,-0.6918161585899725,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,weak,3,0.2,2,0,0,-0.6903724895200867,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,strong,3,1.3,2,0,0,-21.67126184339031,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,medium,3,0.7,2,0,0,-62.7616441381997,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,medium,1.5,0.7,3,0,0,5.196123208419522,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,8,weak,6,0.2,2,0,0,-130.52919003309944,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,strong,1.5,1.3,3,0,0,4.458541027190222,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,8,strong,6,1.3,2,0,0,-205.87971962909978,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,medium,6,0.7,2,0,0,-60.34547260630097,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,weak,3,0.2,3,0,0,1.2766171711700736,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,strong,3,1.3,3,0,0,1.8652777642000729,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,medium,3,0.7,3,-0.125346707685552,0.047715227436025964,-0.34938153460097965,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
SST,5,weak,0.75,0.2,3,0,0,0.27637518882966106,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,strong,0.75,1.3,3,-0.3504752410628802,0.10272969240036,-16.544913611650372,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
SST,5,medium,0.75,0.7,3,0,0,-1.7981310867508,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,medium,6,0.7,3,0,0,2.0483003466997616,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,weak,6,0.2,3,0,0,1.9504591159002302,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,medium,1.5,0.7,3,-0.09147225273772985,0,3.5906441189699763,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,strong,6,1.3,3,0,0,1.3200395348012535,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,weak,1.5,0.2,3,0,0,-3.159266775670403,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,5,strong,1.5,1.3,3,0,0,5.0670875196192355,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,8,medium,0.75,0.7,3,0,0,5.021976341389745,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,weak,3,0.2,3,0,0,4.475697013009267,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,strong,3,1.3,3,0,0,0.721779791998415,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,medium,3,0.7,3,0,0,9.878221706499971,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,8,weak,0.75,0.2,3,0.21198432445158105,0.09418566918903404,-0.6565762281197749,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
SST,8,strong,0.75,1.3,3,0,0,11.595477563560053,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,weak,6,0.2,3,0,0,9.020171479698547,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,medium,6,0.7,3,0,0,-2.402885867000805,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,5,strong,6,1.3,3,0,0,6.723571796201213,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,8,medium,1.5,0.7,3,0,0,7.656297714829634,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,8,strong,1.5,1.3,3,0,0,37.594664701170586,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,8,weak,1.5,0.2,3,0,0,19.000181561150384,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,3,weak,0.75,0.2,3,0,0,7.185560275959688,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,3,medium,0.75,0.7,3,0.09995291713327392,-0.027802469500806004,-7.026403367869534,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
SST,8,medium,3,0.7,3,0,0,15.505515139699128,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,8,weak,3,0.2,3,0,0,-0.2631954169992241,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,strong,0.75,1.3,3,-0.19213405204876355,0.05043729861248103,1.680771720210032,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
WST,3,weak,1.5,0.2,3,0,0,-16.995750577500075,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,strong,1.5,1.3,3,0,0,-4.019616180639787,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,8,strong,3,1.3,3,0,0,23.854485831951024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,3,medium,1.5,0.7,3,0,0,-4.725055211891231,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,8,weak,6,0.2,3,0,0,22.160227130299972,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,8,medium,6,0.7,3,0,0,25.41488267370005,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,8,strong,6,1.3,3,0,0,-11.480517092599257,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,weak,0.75,0.2,3,0,0,-0.48684303775917215,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,weak,3,0.2,3,0,0,0.09172354889960843,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,3,medium,3,0.7,3,0,0,-19.02467886064005,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,strong,0.75,1.3,3,-0.02754177750640696,0.11719267269918299,11.215813331929894,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
WST,3,strong,3,1.3,3,0,0,1.6476325056210044,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,5,medium,0.75,0.7,3,0,0,-17.325108317960257,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,weak,6,0.2,3,0,0,-0.05752393739930994,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,medium,6,0.7,3,0,0,-83.31188539379946,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,weak,1.5,0.2,3,0,0,7.148592134950377,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,3,strong,6,1.3,3,0,0,-25.627292575500178,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,medium,1.5,0.7,3,-0.05081935110582092,0.014110886405795053,-12.32393030223011,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,5,strong,1.5,1.3,3,0,0,8.08355830580058,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,5,weak,3,0.2,3,0,0,-13.929574113770286,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,medium,3,0.7,3,0,0,-57.0449247851011,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,weak,0.75,0.2,3,0.3163204283628298,-0.09836851196790797,-7.079720656940481,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
WST,5,strong,3,1.3,3,0,0,-27.722264462448948,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,medium,0.75,0.7,3,-0.31872911119010094,0.19216093228976405,-17.096978654400118,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,5,weak,6,0.2,3,0,0,-47.12291641770025,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,strong,0.75,1.3,3,0.07795145703960993,0,32.93235811683007,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
WST,5,medium,6,0.7,3,0,0,-67.80142212770079,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,strong,6,1.3,3,0,0,-8.072299048200875,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,weak,1.5,0.2,3,-0.4040169989262721,0.29615069982479303,-73.09103442827018,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,8,medium,1.5,0.7,3,0,0,-100.45065234308004,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,strong,1.5,1.3,3,0,0,12.953532178189562,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,medium,0.75,0.7,4,0,0,0.36543074862947833,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,weak,0.75,0.2,4,0,0,19.301295237349223,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,strong,0.75,1.3,4,0,0,-6.088201596840008,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,weak,3,0.2,3,0.144950518186559,-0.040161553821020046,16.44644396424883,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
SST,3,weak,1.5,0.2,4,0,0,4.247540978450161,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,8,strong,3,1.3,3,0,0,-13.984458067980086,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,strong,1.5,1.3,4,0,0,1.2994920747696597,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,8,medium,3,0.7,3,0,0,-30.386736983520677,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,medium,1.5,0.7,4,0,0,6.8492750052191695,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,8,medium,6,0.7,3,-0.498395815990818,0.29969522519471703,-657.0151719385995,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,8,weak,6,0.2,3,0,0,-45.64512843739976,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,strong,6,1.3,3,0,0,-45.43638766099866,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,medium,3,0.7,4,0,0,2.1031027460994665,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,weak,3,0.2,4,0,0,3.944445868899493,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
